key,b_star_traditional,b_star_ml,skip_list_traditional,skip_list_ml
7504599,0.2,0.1,0.2,0.9
7498771,0.3,0,0.3,0.3
7485764,0.3,0.2,0.8,0.5
7501943,0.2,0.1,0.4,0.3
7491646,0.1,0.1,0.6,0.5
7478896,0.3,0.1,0.4,0.4
7494181,0.2,0.1,0.5,0.3
7487463,0.2,0.1,0.3,0.5
7499778,0.1,0.2,1.2,0.5
7491321,0.1,0.1,0.3,0.2
7513097,0.1,0.1,0.4,0.2
7507913,0.6,0.2,0.6,1
7488644,0.2,0.1,0.4,0.2
7507682,0.9,0.5,0.7,0.2
7506027,0.3,0.2,0.4,0.8
7507740,0.2,0.1,0.1,0.8
7513318,0.2,0,0.5,0.3
7481317,0.6,0.2,0.8,0.8
7512909,0.2,0.2,0.4,0.3
7490967,0.2,0.2,0.4,0.6
7483843,0.1,0.2,1.4,0.3
7503954,0.1,0.2,0.6,0.4
7498414,0.4,0.2,0.5,0.4
7491903,0.4,0.3,0.7,0.2
7493011,0.2,0.1,0.2,0.5
7475636,1,0.2,0.2,1.1
7483332,0.2,0.2,0.9,0.8
7479236,0.7,0.1,0.7,0.5
7480942,0.1,0.1,0.5,0.5
7505588,0.2,0.3,0.3,0.6
7486300,0.2,0.2,0.7,0.4
7478646,0.2,0.1,0.2,0.2
7501395,0.3,0.1,0.2,0.2
7494333,0.2,0.3,0.2,0.2
7485836,0.1,0,0.3,0.1
7512772,0.2,0,0.2,0.3
7512254,0.2,0.2,1.7,0.4
7508059,0.2,0.2,0.4,0.5
7479769,0.1,0.1,0.3,0.2
7487986,0.2,0.2,0.5,0.6
7486230,0.1,0.1,0.4,0.3
7514304,0.6,0.2,1.4,0.7
7499668,0.5,0.1,0.5,0.7
7489962,0.4,0.3,1.5,1
7509831,0.1,0,0.3,0.6
7499048,0.7,0.1,0.4,1
7497966,0.1,0,0.3,0.2
7478111,0.6,0.2,1.2,0.6
7487412,0.2,0.1,0.4,0.7
7477458,0.2,0.1,0.5,0.5
7478078,0.2,0.1,0.2,0.3
7509952,0.1,0.1,0.4,0.2
7495033,0.5,0.2,0.4,0.9
7477770,0.3,0.1,0.3,0.4
7509599,0.1,0.1,0.1,0.3
7484158,0.2,0.3,0.2,0.3
7495107,0.4,0,0.2,0.2
7478807,0.2,0.2,0.2,0.3
7487668,0.2,0.1,0.5,0.5
7494198,0.1,0.1,0.3,0.5
7498165,0.3,0.1,1,0.6
7499869,0.1,0.1,0.4,0.6
7496866,0.2,0.1,0.4,0.2
7507004,0.1,0.1,0.3,0.2
7509454,0.2,0.2,0.5,0.8
7509767,0.2,0.1,0.1,0.2
7499433,0.2,0.1,0.4,0.4
7498583,0.2,0.1,0.5,0.5
7483431,0.5,0,0.4,0.3
7510240,0.3,0.1,0.4,0.5
7483651,0.6,0.2,0.4,0.3
7504518,0.2,0.2,0.5,0.9
7487743,0.1,0.1,0.2,0.2
7499704,0.1,0.1,0.3,0.2
7498452,0.1,0,0.3,0.2
7502240,0.3,0,0.3,0.3
7514119,0.8,0.1,0.4,0.5
7476101,0.2,0,0.2,0.3
7491808,0.3,0.2,0.2,0.7
7486252,0.1,0.1,0.3,0.2
7491999,0.1,0.1,0.1,0.2
7500082,0.5,0.2,0.9,0.6
7481188,0.4,0.1,0.9,0.3
7494300,0.2,0,0.2,0.2
7490553,0.4,0.1,0.3,0.4
7504525,0.1,0.1,0.2,0.3
7500463,0.3,0.1,0.3,0.5
7475825,0.2,0.1,0.5,0.2
7488522,0.2,0.1,0.4,0.8
7500726,0.3,0.1,0.2,0.2
7496995,0.2,0.2,0.3,0.4
7507095,0.1,0.1,0.2,0.2
7482098,0.1,0.1,0.2,0.1
7513960,0.2,0.2,1.1,0.4
7490466,0.1,0.1,0.3,0.1
7497260,0.2,0.1,0.7,0.3
7506097,0.2,0.1,0.4,0.2
7505925,0.1,0.1,0.2,0.2
7497276,0.2,0,0.4,0.2
7478247,0.1,0,0.2,0.2
7475717,0.1,0,0.3,0.4
7479974,0.1,0.2,0.2,0.8
7492718,0.2,0.2,0.5,0.4
7507654,0.2,0.2,0.5,0.7
7484174,0.1,0.1,0.2,0.3
7478281,0.2,0.1,0.2,0.1
7505012,0.1,0.2,0.1,0.6
7489324,0.3,0,0.3,0.6
7481551,0.2,0,0.3,0.2
7508687,0.1,0,0.4,0.3
7484534,0.1,0.3,0.2,0.6
7511839,0.3,0.2,0.4,0.9
7480121,0.2,0.2,0.2,0.1
7503127,0.1,0.1,0.2,0.7
7513347,0.1,0.1,0.5,0.6
7480531,0.4,0.2,0.3,0.3
7487607,0.2,0.1,0.6,0.5
7503297,0.1,0.1,0.4,0.3
7487754,0.2,0.1,0.2,0.5
7504415,0.4,0.2,0.3,0.5
7488131,0.5,0.1,0.5,0.5
7506572,0.2,0.1,0.2,0.4
7507376,0.4,0.2,1.3,0.3
7500140,0.1,0.1,0.4,0.3
7497035,0.1,0.1,0.3,0.3
7483335,0.1,0.1,0.3,0.1
7513783,0.3,0.3,0.5,0.4
7476130,0.2,0.1,0.1,0.5
7499010,0.2,0.1,0.8,0.3
7508348,0.2,0.1,0.2,0.2
7490618,0.2,0,0.3,0.2
7506458,0.1,0.1,0.5,0.8
7492107,0.1,0.1,0.4,0.4
7496574,0.2,0.4,0.7,0.7
7514388,0.2,0.1,0.3,0.4
7484193,0.1,0.1,0.2,0.2
7486102,0.1,0.1,0.3,0.7
7506748,0.2,0,0.4,0.2
7476944,0.1,0,0.3,0.5
7509755,0.2,0,0.3,0.2
7481695,0.4,0.1,0.3,0.7
7476307,0.4,0.2,0.5,0.5
7494130,0.2,0.3,0.5,0.2
7511176,0.6,0.3,0.4,0.3
7514325,0.1,0.2,0.4,0.2
7505596,0.1,0.1,0.2,0.2
7488185,0.3,0.1,0.2,0.8
7502114,0.2,0.2,0.7,0.3
7514440,0.3,0,0.2,0.3
7477918,0.1,0,0.2,0.2
7509373,0.2,0.2,0.3,0.3
7505647,0.4,0.1,0.3,0.3
7500219,0.2,0.2,0.5,0.3
7487474,0.1,0.1,0.2,0.2
7477202,0.1,0.2,0.2,0.5
7490658,0.2,0,0.2,0.3
7500148,0.1,0,0.3,0.3
7506524,0.1,0.2,0.2,0.2
7477451,0.1,0.1,0.2,0.1
7486506,0.4,0.5,0.8,0.7
7487343,0.1,0.1,0.2,0.2
7490148,0.1,0,0.3,0.4
7491928,0.1,0,0.2,0.2
7477114,0.2,0,0.4,0.2
7507324,0.2,0.2,0.2,0.4
7488129,0.1,0.1,0.1,0.3
7499069,0.4,0.1,0.3,0.5
7475992,0.2,0,0.3,0.6
7495496,0.4,0.1,0.6,0.5
7510518,0.3,0.4,1.3,0.3
7490872,0.1,0.1,0.2,0.7
7500793,0.2,0.1,0.3,0.2
7477466,0.2,0.1,0.2,0.2
7500233,0.1,0,0.2,0.3
7480483,0.2,0.1,0.2,0.2
7495825,0.2,0.2,0.5,0.7
7491384,0.2,0.1,0.4,0.3
7512886,0.2,0.2,0.3,0.3
7477697,0.2,0.2,0.3,0.2
7509707,0.1,0.1,0.3,0.2
7492600,0.2,0.1,0.3,0.2
7477508,0.1,0.1,0.2,0.1
7506164,0.1,0.1,0.3,0.3
7509758,0.1,0.1,0.2,0.2
7483081,0.4,0.1,0.5,0.9
7499510,0.3,0.1,0.5,0.6
7483483,0.2,0,0.4,0.4
7492495,0.2,0,0.4,0.3
7499140,0.2,0,0.3,0.4
7491883,0.1,0,0.2,0.2
7508946,0.1,0,0.3,0.3
7508620,0.1,0.1,0.3,0.2
7501151,0.1,0.4,0.2,0.4
7489107,0.1,0.1,0.2,0.7
7475617,0.3,0.1,0.1,0.5
7476672,0.2,0.1,0.2,0.7
7507384,0.2,0,0.2,0.2
7507051,0.1,0,0.1,0.5
7495951,0.3,0.1,0.3,0.6
7501625,0.3,0.3,0.7,0.5
7505649,0.1,0.1,0.2,0.2
7480045,0.1,0.1,0.2,0.3
7506727,0.1,0.1,0.3,0.2
7513488,0.4,0.1,0.5,0.3
7481896,0.1,0.1,0.4,0.7
7511437,0.4,0.1,0.6,0.8
7503432,0.4,0.1,0.3,0.2
7493165,0.3,0.1,0.6,0.4
7495662,0.1,0.1,0.3,0.2
7477757,0.2,0.1,0.1,0.2
7476547,0.2,0.2,0.3,0.6
7490040,0.2,0.1,0.6,0.3
7511345,0.1,0.5,0.7,0.4
7478836,0.1,0,0.4,0.2
7479022,0.3,0.2,0.4,0.5
7484410,0.2,0.1,0.2,0.4
7504487,0.2,0.2,0.4,0.2
7506642,0.2,0.1,0.1,0.1
7486996,0.3,0.2,1.2,0.7
7476474,0.2,0.2,1.1,0.5
7512658,0.4,0.1,0.3,0.6
7510860,0.2,0.2,0.5,0.3
7482018,0.2,0.2,0.3,0.5
7499376,0.2,0.1,0.3,0.3
7482948,0.2,0.2,0.8,0.4
7490531,0.1,0,0.7,0.5
7495969,0.2,0.1,0.3,0.3
7509431,0.1,0.1,0.5,0.2
7489186,0.2,0.3,0.5,0.2
7493965,0.3,0.3,0.2,0.3
7496888,0.1,0.1,0.3,0.3
7477687,0,0.1,0.2,0.2
7501468,0.2,0.1,0.3,0.4
7510011,0.2,0.1,0.3,0.3
7485845,0.2,0.1,0.3,0.5
7477777,0.1,0.2,0.2,0.2
7480035,0.1,0.1,0.2,0.2
7486534,0.2,0.1,0.4,0.5
7486207,0.1,0.1,0.3,0.4
7507264,0.2,0.3,0.2,0.2
7485253,0.3,0.1,0.3,0.3
7496444,0.1,0.1,0.4,0.3
7480629,0.1,0.1,0.3,0.4
7504301,0.1,0.1,0.5,0.6
7514434,0.1,0,0.2,0.3
7504117,0.3,0.1,0.4,0.1
7489102,0.1,0,0.6,0.2
7491802,0.1,0.1,0.2,0.4
7505522,0.2,0.1,0.3,0.3
7498783,0.2,0.1,0.4,0.3
7488810,0.3,0.1,0.2,0.3
7488395,0.8,0.2,0.4,0.7
7491984,0.1,0.2,0.2,0.2
7484260,0.1,0.1,0.4,0.3
7487530,0.2,0.1,0.2,0.2
7510081,0.1,0.1,0.7,0.6
7484924,0.6,0.1,0.7,0.6
7505355,0.2,0,0.5,0.8
7490508,0.2,0,0.7,0.2
7497600,0.7,0.1,1.8,1.2
7499820,0.2,0.1,0.2,0.2
7513136,0.1,0.1,0.3,0.8
7514393,0.2,0.1,0.1,0.2
7494111,0.2,0.1,0.4,0.3
7498286,0.1,0.1,0.5,0.2
7485332,0.6,0.1,0.4,0.3
7508413,0.2,0.1,0.6,0.3
7476697,0.1,0.1,0.2,0.3
7507114,0.1,0.1,0.3,0.2
7486562,0.4,0.1,0.6,0.2
7490859,0.1,0.1,0.2,0.2
7479877,0.1,0.5,0.2,0.2
7488308,0.3,0.2,0.5,0.3
